Title,Author,Publication date,Publisher,Language,Pages,Editions,Rating,Aggregate approval,Want to read,Currently reading,Have read
Das geraubte Leben des Waisen Jun Do,Adam Johnson,0.6535268078182834,Suhrkamp,German,2.2051536891257575,-0.10379645898651477,4.2,0.3365901648248615,0.08257144370081222,0.04436104602848513,0.17457497927471627
A fable,William Faulkner,-0.20355158823984412,Random House,English,0.81607110333964,-0.10379645898651477,0.0,-0.22696263082477028,-0.09251260923945982,-0.12708801542839973,-0.27109471908101535
From hell,Alan Moore,0.3629917583070537,"Mad Love Pub. in association with Kitchen Sink Press, Inc.",English,-1.5675946138693377,-0.10379645898651477,4.2,0.054813767000045616,0.00017894819950773705,-0.12708801542839973,0.026018413156139064
Commerce of the prairies,Josiah Gregg,-1.7288605981738,J.W. Moore,English,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1199767744065613,-0.12708801542839973,-0.27109471908101535
The travels of Cyrus,Ramsay Chevalier,-2.542358736805243,Printed by Isaac Neale,English,0.34378302417235995,-0.10379645898651477,3.0,-0.18670885970693943,-0.123409795052449,-0.12708801542839973,-0.23395557755137106
The song of the cardinal,Gene Stratton-Porter,-0.9444159644934798,The Bobbs-Merrill Company,,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.10967771246889825,-0.12708801542839973,-0.27109471908101535
The mind of the Maker.,Dorothy L. Sayers,-0.3923993704221434,"Harcourt, Brace and Company",English,-0.33964560803440985,-0.10379645898651477,0.0,-0.22696263082477028,-0.06848146471824601,-0.12708801542839973,-0.23395557755137106
A hole is to dig,Ruth Krauss,-0.2326050931909671,Harper,English,-1.3453414001435589,-0.10379645898651477,3.5,-0.13303716488316497,-0.08221354730179675,-0.12708801542839973,0.026018413156139064
Reynard the Fox,Johann Wolfgang von Goethe,-1.641700083320431,Nattali and Bond,,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.1199767744065613,-0.12708801542839973,-0.27109471908101535
A child's dream of a star,Charles Dickens,-1.4092720437114472,"Fields, Osgood",English,-1.5287003014673264,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Terry and the Pirates,Milton Caniff,0.3048847484048078,Nantier Beall Minoustchine Publishing,English,-1.2564401146532473,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Il misterioso manoscritto di Nostratopus,Elisabetta Dami,0.4646790256359841,Piemme,Italian,-0.9619546064665905,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
Going after Cacciato,Tim O'Brien,0.15961722364919295,Dell,English,0.26599439936833735,-0.10379645898651477,5.0,-0.1598730122950522,-0.11654375376067362,-0.12708801542839973,-0.15967729449208246
Someone Like You,Roald Dahl,-0.20355158823984412,Alfred A. Knopf,English,0.38267733657437125,-0.10379645898651477,4.0,-0.17329093600099582,0.02077707207483386,0.04436104602848513,-0.011120728373505239
Paul and Virginia,Bernardin de Saint-Pierre,-1.0025229743957258,Henry Altemus,English,-0.36742725975013224,-0.10379645898651477,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
The Throne of Fire,Rick Riordan,0.6244733028671604,Puffin,English,6.260288420793835e-17,-0.10379645898651477,4.6,1.6247108405954485,0.4876678799155594,0.5015585432468448,1.994392914227287
Grapes of wrath,Boyd Cable,-0.741041429835619,Dulton,,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
Wanderers,Knut Hamsun,-0.6684076674578117,A.A. Knopf,English,0.1715367835348814,-0.11505394163486728,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
The natives of Hemsö,August Strindberg,0.07245670879582405,Liveright,English,6.260288420793835e-17,-0.11505394163486728,0.0,-0.22696263082477028,-0.11654375376067362,-0.12708801542839973,-0.27109471908101535
Kaybetmek Istemiyorum,Danielle Steel,1.5580871205243187e-15,Inkilap,Turkish,0.4493533006921049,-0.10379645898651477,4.0,-0.17329093600099582,-0.03758427890525682,-0.06993832827610479,-0.12253815296243814
The great war syndicate.,Frank R. Stockton,-1.0025229743957258,"Dodd, Mead",,6.260288420793835e-17,-0.11505394163486728,4.0,-0.17329093600099582,-0.1199767744065613,-0.12708801542839973,-0.23395557755137106
